Avar*(AD*600–670),0.039239105,-0.39749953,0.092692263,-0.02414,-0.084291,-0.048864684,0.017613474,0.025262105,0.010839737,0.012842842,-0.014358579,0.0010886316,-0.0019716842,0.0039838947,0.0042786842,0.00036289474,0.00011657895,-0.0019004211,0.0035592105,0.014138368,-0.022959526,-0.0049136842,-0.020991,-0.000704,0.00083194737
Bactria-Margiana*Archaeological*Complex*(2300–1300*BC),0.080072,0.082125348,-0.11400517,0.0029631739,-0.093997435,0.020225609,0.0078166087,-0.0048961739,-0.060619043,-0.038079391,-0.0012991304,-0.00010430435,-0.0024756087,-0.0070966087,0.017761739,0.024753826,-0.0060373043,0.001746,0.0045907391,-0.02137987,0.00073243478,-0.013091087,0.0003216087,-0.016896,0.010767
Bactrian*(Kushan*Period)*(150*BC–AD*300),0.0978878,0.0741338,-0.0365054,0.0165376,-0.0397612,0.0119922,0.007097,-0.0013846,-0.0356692,-0.0287934,-0.0015914,0.0036866,0.0002676,-0.010652,0.0115906,0.0167594,-0.0033118,0.0032432,0.003017,-0.0083542,-0.0038182,-0.0058364,0.004092,0.0021688,-0.0012214
Baden*Culture*(3600–2850*BC),0.1282786,0.1766006,0.0314517,-0.0618222,0.0705978,-0.0332717,-0.0033372,-0.0006923,0.0456089,0.0814959,0.0055864,0.0136528,-0.0227748,0.0021057,-0.0317177,-0.008499,0.0127255,0.0043327,0.0126578,-0.0095422,-0.003269,0.0051686,-0.0069265,-0.0219066,0.0021794
Baiuvarii*(AD*450–550),0.12768882,0.13229573,0.061299364,0.047187364,0.042497364,0.021423818,0.0068580909,0.0069646364,0.0023982727,-0.0017229091,-0.0049601818,0.0049592727,-0.0057031818,-0.0032153636,0.016409818,-0.00090409091,-0.008001,0.0039504545,0.0051992727,0.0024216364,0.0072032727,0.0035522727,-0.0019270909,0.013583545,-0.0026343636
Balt*(Bronze*Age)*(1000–230*BC),0.13027564,0.12712582,0.098462727,0.10797073,0.046945727,0.039272909,0.013225,0.017411727,-0.0010411818,-0.048773,-0.00066445455,-0.018719636,0.029705091,0.040361,-0.015521455,0.000422,0.00014209091,-0.00071390909,-0.0011540909,0.0064918182,-0.0026658182,-0.0040243636,0.0076413636,-0.020933818,0.0037447273
Balt*(Migration*Period)*(AD*262–534),0.1338558,0.1281598,0.0984284,0.099872,0.0513326,0.0393236,0.0139596,0.0154146,-0.0006546,-0.043263,-0.0042546,-0.0177742,0.032408,0.0377362,-0.0111562,-3.469447e-19,0.0021644,-0.001191,0.0038966,0.0068282,-0.0037184,-0.0049462,0.0081838,-0.0154958,-0.0002156
Bantu*(Central*Africa)*(AD*1650–1800),-0.62450933,0.060932,0.021370333,0.014319667,-0.0027696667,0.010876333,-0.011672333,0.016460667,-0.036473333,0.014579,0.005088,0.0002,-0.002428,-0.003349,-0.0031216667,0.008751,-0.009127,0.000211,-0.0010056667,0.0039186667,0.00079033333,-0.002844,-0.0010273333,-0.0054623333,0.0013966667
Bantu*(East*Africa)*(AD*1310–1600),-0.620336,0.0660095,0.0175365,0.0134045,0.0018465,0.0179885,-0.0135135,0.0175375,-0.0195325,0.0019135,-0.000812,0.010041,-0.0173935,0.0035785,-0.0287725,0.0084855,-0.016624,0.00019,-0.015524,0.0091295,0.0029325,0.0034,0.004252,0.008254,-0.000299
Bantu*(South*Africa)*(AD*1500–1600),-0.62574275,0.06347075,0.021307,0.01558475,0.00392375,0.0096915,0.00569875,0.001096,-0.023469,0.0098405,0.00568375,-0.003072,-0.01033175,0.001858,-0.01265575,0.01680575,-0.00756225,0.041839,-0.01998575,0.00247,-0.0024645,-0.00021625,0.003451,-0.00469925,0.00101775
Battle*Axe*Culture*(2650–2300*BC),0.1232135,0.12161,0.0570395,0.066861,0.021004,0.02496075,0.00546375,-0.000173,-0.0149815,-0.01817825,-0.0022735,0.0022855,-0.009217,-0.0166865,0.0181525,0.00798875,-0.00547625,0.00209025,-0.00191675,0.0018135,-0.000187,-0.00077275,0.007672,0.010393,-0.00703525
Berber*(Carthaginian*Period)*(760–540*BC),-0.069432,0.146236,0.003394,-0.073644,0.033237,-0.04016,-0.031256,0.006461,0.091627,0.033349,0.010555,-0.012139,0.02334,-0.01679,0.022122,-0.017104,0.001434,-0.025718,-0.053924,0.006878,-0.020464,-0.045381,0.023417,-0.015062,0.014609
Boisman*Culture*(Amur*River)*(5400–3600*BC),0.020361667,-0.45134622,0.080117,-0.044825222,-0.053343111,-0.042205444,0.012037778,0.013948333,0.011271444,0.026019333,-0.041463222,-0.0018981111,-0.00185,0.009909,-0.0097868889,-0.0074251111,-0.0033318889,0.004434,0.012080889,0.015285,0.00074877778,-0.032479333,-0.025840889,0.0017002222,-0.014250222
Botai*Culture*(3500–3100*BC),0.103579,-0.082935,0.090886,0.17646667,-0.083913,0.036720667,-0.043085333,-0.051305333,-0.029110333,-0.080305333,0.022950667,-0.0093416667,0.023934333,-0.069316,0.022756,0.019534667,-0.011560667,-0.0024916667,0.00025133333,-0.0025426667,-0.033067,0.021350667,0.024197667,0.004137,-0.0087416667
Bronze*Age*Aegean*(Cycladic*Culture)*(2830–2350*BC),0.1155305,0.1675625,-0.0194215,-0.0805885,0.018773,-0.0352795,-0.003995,-0.007846,0.00634,0.049386,0.005846,0.014837,-0.0231165,0.006468,-0.026126,-0.0061655,0.0157115,0.003927,0.008485,-0.010192,-0.010107,-0.003462,0.001109,0.0046395,-0.0026345
Bronze*Age*Aegean*(Helladic*Culture)*(2890–2760*BC),0.1161,0.176702,-0.000377,-0.091086,0.029236,-0.033188,-0.00423,-0.007846,0.027406,0.065241,0.002436,0.01169,-0.019921,0.004954,-0.030401,-0.019888,0.010691,0.003294,0.006662,-0.020635,-0.010482,0.002597,0.000863,0.007591,-0.003592
